City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
0,Rikitea,PF,71.4,light rain,-23.1203,-134.9692,People ThankYou
2,Mataura,NZ,65.48,overcast clouds,-46.1927,168.8643,Ellie's Villa
5,Carnarvon,AU,76.33,clear sky,-24.8667,113.6333,Hospitality Carnarvon
6,Caucaia,BR,79.03,scattered clouds,-3.7361,-38.6531,M.O.S. Logística - Filial Fortaleza
13,Ambagarh Chauki,IN,76.35,clear sky,20.7833,80.7167,गाँधी चौक शांति भवन सोनसाय टोला
15,Busselton,AU,63.86,overcast clouds,-33.65,115.3333,Observatory Guest House
16,Jieshi,CN,68.4,moderate rain,22.8134,115.8257,Yuehai Hotel
17,Butaritari,KI,81.36,broken clouds,3.0707,172.7902,Isles Sunset Lodge
19,Mega,ET,62.89,clear sky,4.05,38.3,Amanuel Guest House
20,Cap Malheureux,MU,77.47,few clouds,-19.9842,57.6142,Pereybere Hotel & Spa
22,Hilo,US,73.26,moderate rain,19.7297,-155.09,Hilo Hawaiian Hotel
24,Adwa,ET,65.21,broken clouds,14.1646,38.8955,Maay Assa Hotel
27,Bredasdorp,ZA,60.35,few clouds,-34.5322,20.0403,Bredasdorp Country Manor
31,Atuona,PF,76.82,clear sky,-9.8,-139.0333,Villa Enata
33,Mount Isa,AU,82.17,few clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
35,Acapulco,MX,76.82,few clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
37,Port Elizabeth,ZA,62.1,clear sky,-33.918,25.5701,39 On Nile Guest House
38,Yarada,IN,86.32,haze,17.65,83.2667,Yarada Jungle Beach Resorts
40,Puerto Ayora,EC,67.37,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
42,Kapaa,US,80.58,scattered clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
45,Mahebourg,MU,79.09,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
47,Bathsheba,BB,83.01,scattered clouds,13.2167,-59.5167,Atlantis Hotel
49,Xinxiang,CN,69.17,clear sky,35.3089,113.8672,Guoyu Holiday Inn
56,Chipiona,ES,61.3,mist,36.7366,-6.437,Al Sur De Chipiona
59,Itarema,BR,78.04,broken clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
61,Vila Do Maio,CV,77.79,overcast clouds,15.1333,-23.2167,Hotel Marilu
65,Kaitangata,NZ,68.65,overcast clouds,-46.2817,169.8464,Kaitangata Motor Camp
70,Hualmay,PE,61.0,clear sky,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
71,Carutapera,BR,79.66,overcast clouds,-1.195,-46.02,Lidera
74,Bacolod,PH,86.54,few clouds,10.6667,122.95,Planta Hotel & Residences
75,Morant Bay,JM,78.42,light rain,17.8815,-76.4093,Whispering Bamboo Cove Resort
78,Grand Gaube,MU,79.2,few clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
80,El Sauzal,MX,65.82,overcast clouds,31.9,-116.6833,Hotel Las Rosas & Spa
82,Souillac,MU,79.18,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
85,Sinnamary,GF,78.73,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
86,Vaini,TO,78.96,broken clouds,-21.2,-175.2,Keleti Beach Resort
87,Wenling,CN,70.61,overcast clouds,28.3669,121.36,Hanting Express Wenling Wanchang North Road
88,Yarmouth,US,60.96,overcast clouds,41.7057,-70.2286,Blue Rock Resort
91,Santa Rosa,PH,87.1,overcast clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
93,Avarua,CK,75.25,broken clouds,-21.2078,-159.775,Paradise Inn
95,Sola,VU,81.57,few clouds,-13.8833,167.55,Leumerus Bungalows
99,Davila,PH,89.58,overcast clouds,18.4726,120.5763,Blue Ridge Beach Resort
100,Mao,ES,68.56,clear sky,39.8885,4.2658,ARTIEM Capri
104,Bluff,NZ,65.8,overcast clouds,-46.6,168.3333,Bluff Homestead - Guesthouse & Campervan Park
105,Hasaki,JP,63.28,overcast clouds,35.7333,140.8333,Inubosaki Kanko Hotel
107,Ziro,IN,63.34,clear sky,27.6333,93.8333,Ka-ngam homestay
109,Male,MV,85.95,broken clouds,4.1748,73.5089,Hotel Octave Maldives
118,Humaita,BR,75.04,overcast clouds,-7.5061,-63.0208,Corrêa Hotel
119,Umm Lajj,SA,78.87,scattered clouds,25.0213,37.2685,Moon light Furnished Units
121,Cape Town,ZA,61.88,clear sky,-33.9258,18.4232,"Radisson Blu Hotel Waterfront, Cape Town"
122,Esperance,AU,60.96,broken clouds,-33.8667,121.9,Hospitality Esperance
123,Soyo,AO,78.39,overcast clouds,-6.1349,12.3689,Hospedaria ndozi'ame
127,Huarmey,PE,61.43,few clouds,-10.0681,-78.1522,Hotel Miramar
128,Kapit,MY,82.47,heavy intensity rain,2.0167,112.9333,Hotel Meligai Kapit
129,Hithadhoo,MV,81.66,overcast clouds,-0.6,73.0833,Scoop Guest House
131,Ingraj Bazar,IN,82.27,clear sky,25.0,88.15,Hotel Samrat
134,Ponta Do Sol,PT,70.72,overcast clouds,32.6667,-17.1,Hotel do Campo
135,Kasongo,CD,68.54,light rain,-4.45,26.6667,Guest Hôtel
139,Bengkulu,ID,83.03,scattered clouds,-3.8004,102.2655,Grage Hotel Bengkulu
140,Ascension,US,60.08,clear sky,30.2169,-90.9001,Highland Inn
146,Nazareno,MX,61.5,clear sky,25.3833,-103.4167,Palmas Suite
147,Isla Vista,US,65.01,clear sky,34.4133,-119.861,Best Western Plus South Coast Inn
151,Vanimo,PG,84.15,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
153,Samarai,PG,85.46,few clouds,-10.6167,150.6667,Nuli Sapi
154,Westport,US,60.84,heavy intensity rain,41.1415,-73.3579,The Westport Inn
155,Betioky,MG,82.04,clear sky,-23.7167,44.3833,Bungalows Acacias Hotel
156,Katsuura,JP,64.29,light rain,35.1333,140.3,Katsuura Hotel Mikazuki
158,Joao Pinheiro,BR,71.31,overcast clouds,-17.7425,-46.1725,Hotel Santos
161,Sao Filipe,CV,79.48,overcast clouds,14.8961,-24.4956,Hotel Xaguate
163,Sao Gabriel Da Cachoeira,BR,73.56,overcast clouds,-0.1303,-67.0892,Alarne - Área De Lazer Do Alto Rio Negro
168,Aswan,EG,68.5,few clouds,24.0934,32.907,Nuba Nile
172,Amahai,ID,86.41,broken clouds,-3.3333,128.9167,HOTEL ISABELA
173,Christchurch,NZ,74.32,clear sky,-43.5333,172.6333,The George
174,Flinders,AU,70.05,clear sky,-34.5833,150.8552,Shellharbour Resort & Conference Centre
176,Laguna,US,60.78,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
177,Touros,BR,77.0,broken clouds,-5.1989,-35.4608,INN NEW HORIZON
181,Xichang,CN,70.45,few clouds,27.8964,102.2634,Xichang ibis Hotel
183,Beberibe,BR,79.12,overcast clouds,-4.1797,-38.1306,Villa Arte Pousada Morro Branco
184,Surt,LY,69.48,clear sky,31.2089,16.5887,فندق المدينة
185,Acarau,BR,77.9,broken clouds,-2.8856,-40.12,castelo pizzaria
186,Buchanan,LR,76.3,light rain,5.8808,-10.0467,Kamaneahn Hotel Inc
188,Pachora,IN,79.65,clear sky,20.6667,75.35,Vishal Avinash patil
190,Yulara,AU,73.08,clear sky,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
192,Sambava,MG,76.48,scattered clouds,-14.2667,50.1667,Melrose
194,Bambous Virieux,MU,79.05,scattered clouds,-20.3428,57.7575,Casa Tia Villa
195,Jaru,BR,64.44,overcast clouds,-10.4389,-62.4664,Hotel Paraná
197,Auki,SB,82.53,scattered clouds,-8.7676,160.7034,Auki Motel
198,Ribeira Grande,PT,61.77,overcast clouds,38.5167,-28.7,Quinta da Meia Eira
201,Monrovia,LR,76.32,moderate rain,6.3005,-10.7969,Sunset Inn
203,Kahului,US,80.62,few clouds,20.8947,-156.47,Maui Seaside Hotel
204,Torit,SS,76.62,scattered clouds,4.4133,32.5678,Diplomat Guest House
205,Natal,BR,75.85,few clouds,-5.795,-35.2094,Villa Park Hotel | Natal
206,Paita,PE,60.51,few clouds,-5.0892,-81.1144,Hotel Náutico de Paita
208,Luena,AO,62.69,overcast clouds,-11.7833,19.9167,Hotel Kandamba
211,Hambantota,LK,85.55,overcast clouds,6.1241,81.1185,Bungalow 63
212,Omboue,GA,75.78,light rain,-1.5746,9.2618,Hotel Olako
213,Guerrero Negro,MX,67.35,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
214,San Patricio,US,76.86,overcast clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
216,Pauini,BR,73.27,broken clouds,-7.7136,-66.9764,Casa do Kiwliks
217,Nouadhibou,MR,73.38,clear sky,20.931,-17.0347,El Medina
219,Port Alfred,ZA,62.19,broken clouds,-33.5906,26.891,The Halyards Hotel & Spa
220,Antalaha,MG,77.05,scattered clouds,-14.9003,50.2788,Hotel Vitasoa
222,Tiarei,PF,73.42,moderate rain,-17.5333,-149.3333,Le Rocher de Tahiti
224,Cayenne,GF,78.84,clear sky,4.9333,-52.3333,Hôtel Le Dronmi
227,Mayo,US,61.52,overcast clouds,38.8876,-76.5119,Resorts Resource Group International
228,Shenjiamen,CN,67.28,overcast clouds,29.9576,122.298,Jinjiang Inn Zhoushan Putuo Shenjiamen
229,Georgetown,MY,85.93,scattered clouds,5.4112,100.3354,Cititel Penang
230,Impfondo,CG,68.94,overcast clouds,1.6381,18.0667,Auberge La Place de Jules
234,Maragogi,BR,74.5,scattered clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
237,Waipawa,NZ,60.28,clear sky,-41.4122,175.5153,Tora Coastal Walk
238,Nara,JP,61.97,light rain,34.6851,135.8049,Guesthouse Nara Komachi
245,Bengbu,CN,72.5,clear sky,32.9408,117.3608,Howard Johnson Nanshan Plaza
248,Yeppoon,AU,85.78,broken clouds,-23.1333,150.7333,Villa Mar Colina
249,Sabha,LY,60.62,scattered clouds,27.0377,14.4283,محطة ام الارانب -سبها مواصلات
251,Panaba,MX,71.65,clear sky,21.2833,-88.2667,Hotel Don Fernando
253,Kieta,PG,82.96,light rain,-6.2167,155.6333,Uruna Bay Retreat
254,Shimoda,JP,64.76,light rain,34.6667,138.95,Shimoda Tokyu Hotel
258,Alofi,NU,78.69,broken clouds,-19.0595,-169.9187,Taloa Heights
260,Jacksonville,US,73.51,broken clouds,30.3322,-81.6556,Hyatt Regency Jacksonville Riverfront
263,Puerto Colombia,CO,75.29,overcast clouds,10.9878,-74.9547,Hotel El Emigrante
264,Tuatapere,NZ,64.06,moderate rain,-46.1333,167.6833,Ron and Tony's Bed & Breakfast
267,San Cristobal,VE,69.98,broken clouds,7.7669,-72.225,Pirineos
271,Te Anau,NZ,61.66,heavy intensity rain,-45.4167,167.7167,Kingsgate Hotel Te Anau
272,Abonnema,NG,75.49,overcast clouds,4.7084,6.7931,Corper's Lodge Obonoma
274,Mineiros,BR,65.1,overcast clouds,-17.5694,-52.5511,Pilões Palace Hotel
275,Gangoh,IN,77.74,clear sky,29.7667,77.25,Inspection Benglo
276,Bridgetown,BB,82.89,scattered clouds,13.1,-59.6167,Hilton Barbados Resort
278,Ziway,ET,65.19,clear sky,7.9333,38.7167,Haile Resort Ziway Batu
281,Clarence Town,AU,74.61,scattered clouds,-32.5833,151.7833,River Downs Cottage
283,Para De Minas,BR,68.32,overcast clouds,-19.8603,-44.6083,Suntory Business Hotel
288,Luanda,AO,76.44,broken clouds,-8.8368,13.2343,EPIC SANA Luanda
292,Sakaiminato,JP,64.33,broken clouds,35.55,133.2333,Italian pasley
294,Totness,SR,77.29,overcast clouds,5.8833,-56.3167,STAATS LOGEERGEBOUW TOTNESS
297,Chimbote,PE,60.31,scattered clouds,-9.0853,-78.5783,Hotel Briliá
298,Siocon,PH,87.71,overcast clouds,7.7061,122.1353,ABS Hotel
299,Coahuayana,MX,72.81,clear sky,18.7333,-103.6833,El rranchito michuacan de ocampos
301,Alice Springs,AU,76.55,clear sky,-23.7,133.8833,Desert Palms Alice Springs
303,Cabo San Lucas,MX,75.51,few clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
304,Ternate,ID,85.82,scattered clouds,0.8,127.4,Sahid Bela Ternate Hotel
305,Nichinan,JP,65.88,light rain,31.6,131.3667,Guest House Aki
306,Hunterville,NZ,61.7,clear sky,-39.9333,175.5667,Argyle Hotel
307,Kavieng,PG,85.41,broken clouds,-2.5744,150.7967,Nusa Island Retreat
310,Balkanabat,TM,65.5,scattered clouds,39.5108,54.3671,Nebitchi Hotel
311,Arraial Do Cabo,BR,73.45,overcast clouds,-22.9661,-42.0278,Pousada Porto Praia
312,Saint-Philippe,RE,78.39,scattered clouds,-21.3585,55.7679,Le four à pain
313,Bilma,NE,66.97,clear sky,18.6853,12.9164,Expeditions Ténére voyages
314,Mogadishu,SO,80.02,scattered clouds,2.0371,45.3438,Hotel Juba
315,Shakiso,ET,63.32,clear sky,5.75,38.9167,DH international Hotel
317,Uvira,CD,77.18,light rain,-3.4067,29.1458,Hotel Suzana
319,Nishihara,JP,72.68,light rain,26.1842,127.7558,Minshuku Agaihama
321,Mana,GF,78.06,broken clouds,5.6592,-53.7767,LE SAMANA
322,Quatre Cocos,MU,78.91,scattered clouds,-20.2078,57.7625,Sunrise Attitude Hotel
324,Karaton,ID,87.19,overcast clouds,-6.3424,106.1045,Parkir Mobil Wisata CAS Water Park
327,Malumfashi,NG,66.34,overcast clouds,11.7853,7.6218,INFINITY CYBER CAFE MALUMFASHI
328,Marzuq,YE,70.7,clear sky,14.4,46.4667,حيد القفلة
334,Kabompo,ZM,65.21,overcast clouds,-13.5927,24.2008,Big Tree
335,Noumea,NC,87.78,scattered clouds,-22.2763,166.4572,Hôtel Le Lagon
337,Bubaque,GW,82.58,few clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
340,Sabzevar,IR,61.88,light intensity shower rain,36.2126,57.6819,پزشکی قانونی سبزوار
342,Amapala,HN,76.26,few clouds,13.2922,-87.6539,Hotel Brisas del Sur
343,Pangai,TO,78.91,broken clouds,-19.8,-174.35,Ha'apai Beach Resort
345,Harlingen,US,73.94,overcast clouds,26.1906,-97.6961,Courtyard by Marriott Harlingen
346,Lahan,NP,81.88,clear sky,26.7296,86.4951,Bhattarai Residence
351,Ende,ID,83.71,broken clouds,-8.8432,121.6623,Dwi Putra Hotel - Ende
354,Dhanbad,IN,82.11,clear sky,23.8,86.45,Cocoon Luxury Business Hotel
355,Kishi,NG,70.29,few clouds,9.0833,3.85,New NCCF KISI
357,Nha Trang,VN,84.2,overcast clouds,12.25,109.1833,Hanoi Golden Hotel
362,Takoradi,GH,77.76,light rain,4.8845,-1.7554,Raybow International Hotel
363,Madras,IN,76.98,moderate rain,13.0878,80.2785,"Taj Connemara, Chennai"
365,Ginir,ET,62.73,few clouds,7.1333,40.7,Sura Dare Village
366,Point Pedro,LK,76.75,moderate rain,9.8167,80.2333,Gtr homes
369,Finschhafen,PG,87.46,scattered clouds,-6.6024,147.8681,Oasis Gagidu Ltd
371,Upata,VE,74.19,overcast clouds,8.0086,-62.3989,Posada Villa Nela
372,Mocuba,MZ,81.07,clear sky,-16.8392,36.9856,Phama Lodge
377,Naigarhi,IN,78.66,clear sky,24.7833,81.7833,राजस्थान मिष्ठान भंडार नईगढ़ी
378,Tianmen,CN,76.08,clear sky,30.6516,113.1603,Tianmen Luyu Hotel
379,Nelson Bay,AU,75.0,scattered clouds,-32.7167,152.15,Mantra Nelson Bay
380,Ulladulla,AU,68.9,few clouds,-35.35,150.4667,Sandpiper Motel
381,Sur,OM,84.67,clear sky,22.5667,59.5289,Sur Plaza Hotel
383,Faanui,PF,77.45,moderate rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
384,Veraval,IN,85.93,clear sky,20.9,70.3667,Lords Inn Somnath
385,Wewak,PG,85.14,light rain,-3.5534,143.6268,In Wewak Boutique Hotel
387,Kirakira,SB,83.61,scattered clouds,-10.4544,161.9205,SanBiz Lodge
391,Gazli,UZ,62.58,scattered clouds,40.1333,63.45,UTG Uy-joy kommunal xoʻjaligi
392,Manbij,SY,62.56,clear sky,36.5281,37.9549,Manbej City Hotel
393,Hwange,ZW,77.22,overcast clouds,-18.3693,26.5019,Hwange Colliery Guest House
395,Nokha,IN,87.93,clear sky,27.6,73.4167,private business
396,Labrea,BR,72.03,broken clouds,-7.2586,-64.7981,Hotel Novo Horizonte
397,Bhatkal,IN,85.5,broken clouds,13.9667,74.5667,Nilawar Palace Lodge
398,Damghan,IR,62.47,scattered clouds,36.1683,54.348,خوابگاه اساتيد دانشگاه دامغان
399,Codajas,BR,76.95,overcast clouds,-3.8367,-62.0569,ATLÂNTIC HOTEL
404,Mae Sai,TH,87.4,clear sky,20.4335,99.8762,Piyaporn Hill Paradise Hotel
406,Geraldton,AU,72.01,clear sky,-28.7667,114.6,Broadwater Mariner Resort
407,Agra,IN,82.18,clear sky,27.1833,78.0167,Hotel Tourist Rest House
409,Nazas,MX,62.58,clear sky,25.2333,-104.1333,Hotel Río Nazas
410,Tamiahua,MX,75.34,scattered clouds,21.2667,-97.45,Mission Of The Sun Hotel
413,Mwene-Ditu,CD,66.42,overcast clouds,-7.0,23.45,African'zuri
414,Sokoni,TZ,78.89,overcast clouds,-6.4333,39.55,Ujamaa Beach Resort
415,Kavaratti,IN,82.22,broken clouds,10.5669,72.642,Green leaf
416,Manjeshwar,IN,86.95,broken clouds,12.7194,74.8861,Mangalore Beach House - EWA Ikigai
419,Cananeia,BR,65.62,overcast clouds,-25.0147,-47.9267,Pousada Ancoradouro
420,Hervey Bay,AU,72.84,broken clouds,-25.2986,152.8535,Shelly Bay Resort
421,Iquitos,PE,77.04,clear sky,-3.7481,-73.2472,Cortez Malaga Techy Caroly
425,Faya,SA,63.12,few clouds,18.3851,42.4509,شيلة نسايم
426,Hobyo,SO,80.78,few clouds,5.3505,48.5268,Halane Hotel and Restaurent
428,Saint-Georges,GD,82.08,few clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
429,Woodward,US,60.03,clear sky,36.4337,-99.3904,"Holiday Inn Express & Suites Woodward Hwy 270, an IHG Hotel"
430,Camana,PE,63.28,clear sky,-16.6228,-72.7111,Hostal Morales
431,Los Llanos De Aridane,ES,69.12,few clouds,28.6585,-17.9182,Valle Aridane
432,Humberto De Campos,BR,76.8,overcast clouds,-2.5983,-43.4611,Pousada do Cabeça
433,Lorengau,PG,86.22,broken clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
435,Baniachang,BD,85.55,clear sky,24.5167,91.3667,ভটে বাড়ি বানিয়াচং হবিগঞ্জ
436,Ransang,PH,79.05,light rain,8.9603,117.5828,Black and Crystal Sand Campsite
437,Comodoro Rivadavia,AR,62.46,clear sky,-45.8667,-67.5,Austral Hotel
439,Gat,IL,68.4,clear sky,31.61,34.7642,OlusHome
440,Thaton,MM,87.93,broken clouds,16.9206,97.3714,"Shwe Pyi Soe Guest House, Thaton"
441,Tabuk,PH,86.77,overcast clouds,17.4189,121.4443,Golden Berries Hotel and Convention
442,Vallenar,CL,60.37,clear sky,-28.5708,-70.7581,Humacao Bed & Breakfast
443,Pokhara,NP,74.52,clear sky,28.2333,83.9833,OYO 170 Hotel View Point
444,Marsh Harbour,BS,79.95,clear sky,26.5412,-77.0636,Abaco Beach Resort
446,Nuevo Progreso,MX,71.47,clear sky,23.1667,-97.95,Balneario Rio el Paraiso
447,Pathri,IN,75.72,clear sky,19.25,76.45,Adam's Villa
448,Odawara,JP,64.99,overcast clouds,35.2556,139.1597,Boston Inn Odawara
451,Nizwa,OM,80.13,clear sky,22.9333,57.5333,Orient Apartments
455,Phan Thiet,VN,84.29,overcast clouds,10.9333,108.1,Hotel Saigon-PT
461,Muroto,JP,66.97,moderate rain,33.2833,134.15,Oota Ryokan
462,Ewa Beach,US,80.55,clear sky,21.3156,-158.0072,Base Lodging
463,Sijunjung,ID,81.27,light rain,-0.6876,100.9537,Hotel Bukik Gadang
467,Weligama,LK,80.92,overcast clouds,5.9667,80.4167,Weligama Bay Resort
471,Ravar,IR,76.15,clear sky,31.2656,56.8055,computertik
472,Tura,IN,82.13,clear sky,25.5198,90.2201,Hotel RIKMAN Continental
474,Gatton,AU,71.42,overcast clouds,-27.55,152.2833,Room Motels Gatton
475,Sagay,PH,85.39,few clouds,10.9447,123.4242,Nonescost Hostel
478,Quelimane,MZ,82.04,scattered clouds,-17.8786,36.8883,Hotel Flamingo
480,Medea,DZ,61.66,overcast clouds,36.2642,2.7539,Hôtel M'Sallah
481,Chipinge,ZW,64.31,light rain,-20.1883,32.6236,Chipinge Breeze Lodge
482,Saint-Pierre,RE,78.91,clear sky,-21.3393,55.4781,Alize Plage
484,Altamira,BR,75.04,clear sky,-3.2033,-52.2064,Requinte Hotel
485,Sao Joao Da Barra,BR,73.35,broken clouds,-21.6403,-41.0511,Pousada Porto De Canoas
488,Santo Tomas,PH,85.57,overcast clouds,14.1079,121.1414,Microtel by Wyndham Batangas
490,Road Town,VG,82.49,broken clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
491,Victoria,HK,75.38,overcast clouds,22.2855,114.1577,Mini Central
495,Isangel,VU,86.11,few clouds,-19.55,169.2667,Tanna Lodge
497,Azad Shahr,IR,61.29,few clouds,34.7909,48.5707,Hotel Amozesh Gah Ranandegi
498,Minab,IR,82.08,few clouds,27.1467,57.0801,Bam campground
500,Am Timan,TD,80.13,overcast clouds,11.0297,20.2827,Palais du chef Canton Salamt
503,Almenara,BR,71.15,broken clouds,-16.1836,-40.6944,Pousada Estância
504,China,MX,69.73,overcast clouds,25.7,-99.2333,González Reyes Artemio
508,Maceio,BR,72.84,few clouds,-9.6658,-35.7353,Hotel Ponta Verde Maceió
511,Lagoa,PT,61.86,broken clouds,39.05,-27.9833,Casa Das Faias
512,Planeta Rica,CO,72.39,broken clouds,8.4147,-75.5883,HOTEL MEDIA LUNA
516,Yilan,TW,71.56,overcast clouds,24.757,121.753,Dar Chen Hotel
518,Makokou,GA,70.54,overcast clouds,0.5738,12.8642,Hôtel Arizona
519,Jishou,CN,75.88,clear sky,28.3167,109.7167,7 Days Inn
520,Buriti,BR,67.69,overcast clouds,-22.9302,-45.3881,Pousada Sao Cristovao
521,Manadhoo,MV,81.37,overcast clouds,5.7667,73.3833,Bon Abri maldives
522,Keningau,MY,73.54,overcast clouds,5.3378,116.1602,Sabindo Hotel
524,Palmas Bellas,PA,78.26,overcast clouds,9.2319,-80.0867,Antigua Residencia Galván
525,Pringsewu,ID,88.72,overcast clouds,-5.3582,104.9744,Urban Style by Front One
526,Paoua,CF,73.24,overcast clouds,7.2427,16.4406,Quartier Paoua Elien
528,Richards Bay,ZA,64.69,light rain,-28.783,32.0377,BON Hotel Waterfront Richards Bay
531,Ramsar,IR,69.24,scattered clouds,36.9226,50.6426,Rasa Residential Hotel
534,Bourail,NC,78.1,broken clouds,-21.5667,165.4833,Motel Allamanda
536,Dubbo,AU,62.73,light rain,-32.25,148.6167,Quality Inn Dubbo International
538,Mangrol,IN,88.02,clear sky,21.1167,70.1167,Hotel The Royal Honours
544,Khanu Woralaksaburi,TH,82.26,overcast clouds,16.0617,99.8606,แฟลตตำรวจ บ้านดาบโก ดอกฝิ่น
546,Ambilobe,MG,88.72,clear sky,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
549,Asyut,EG,62.78,few clouds,27.181,31.1837,فندق ميس إيجيبت Miss Egypt Hotel
552,Wanxian,CN,74.93,clear sky,30.8039,108.3897,7Days Inn Chongqing Shiqiaopu
553,Sonoita,MX,68.05,scattered clouds,31.85,-112.8333,Hotel internacional
555,Puerto Carreno,CO,76.37,overcast clouds,6.189,-67.4859,Casa Hotel Victoria
557,Khandbari,NP,75.9,clear sky,27.3747,87.2039,Sainik Hotel And Lodge
562,Port Blair,IN,86.04,scattered clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
564,Govindgarh,IN,85.55,clear sky,27.5,76.9833,Deepak sharma Jahanpur Waale
567,Pimentel,PE,60.51,broken clouds,-6.8367,-79.9342,Hotel Puerto del Sol
568,Karratha,AU,86.58,clear sky,-20.7377,116.8463,ibis Styles Karratha
571,Aljezur,PT,63.36,overcast clouds,37.3191,-8.8033,Amazigh Hostel
572,Camacari,BR,78.57,overcast clouds,-12.6975,-38.3242,Sítio Blasi
573,Pahrump,US,66.25,overcast clouds,36.2083,-115.9839,Best Western Pahrump Oasis
575,Zambezi,ZM,69.46,overcast clouds,-13.5432,23.1047,Royal Kutachika Lodge
577,Batemans Bay,AU,69.1,few clouds,-35.7167,150.1833,Batemans Bay Marina Resort
578,Hurghada,EG,72.5,broken clouds,27.2574,33.8129,Sea Star Beau Rivage Hotel
580,Charters Towers,AU,84.13,broken clouds,-20.1,146.2667,Cattleman's Rest Motor Inn
583,Atambua,ID,83.62,overcast clouds,-9.1061,124.8925,Ros Muskanan
584,Harper,LR,76.53,overcast clouds,4.375,-7.7169,Screensaver
586,Itoman,JP,73.42,light rain,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
588,Zaozhuang,CN,67.03,clear sky,34.8647,117.5542,Diaoyutai Hotel
589,Dingle,PH,86.5,scattered clouds,10.9995,122.6711,SEGAYA PROPERTY
590,Pilar,BR,71.53,scattered clouds,-9.5972,-35.9567,Pousada e churrascaria Manguaba
594,Leiyang,CN,77.61,overcast clouds,26.4024,112.8591,Dongyang Hotel
598,Pointe Michel,DM,80.15,broken clouds,15.25,-61.3833,Roseau Hostel & Beach Front Property
