City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
0,Rikitea,PF,-23.1203,-134.9692,71.4,78,69,24.74,light rain
1,Mar Del Plata,AR,-38.0023,-57.5575,46.87,79,40,4.61,scattered clouds
2,Mataura,NZ,-46.1927,168.8643,65.48,42,100,3.89,overcast clouds
3,Sitka,US,57.0531,-135.33,35.49,80,0,5.75,clear sky
4,Crnomelj,SI,45.5711,15.1889,50.0,69,39,3.78,scattered clouds
5,Carnarvon,AU,-24.8667,113.6333,76.33,36,0,14.61,clear sky
6,Caucaia,BR,-3.7361,-38.6531,79.03,76,40,8.05,scattered clouds
7,Tiksi,RU,71.6872,128.8694,-1.23,98,57,7.76,broken clouds
8,Albany,US,42.6001,-73.9662,57.94,84,100,1.95,overcast clouds
9,Tuktoyaktuk,CA,69.4541,-133.0374,10.4,79,100,10.36,light snow
10,Ushuaia,AR,-54.8,-68.3,38.86,87,0,20.71,clear sky
11,Haines Junction,CA,60.7522,-137.5108,17.55,62,99,3.44,overcast clouds
12,Dudinka,RU,69.4058,86.1778,22.62,89,100,25.81,overcast clouds
13,Ambagarh Chauki,IN,20.7833,80.7167,76.35,55,3,7.87,clear sky
14,Qaqortoq,GL,60.7167,-46.0333,15.03,81,15,5.48,few clouds
15,Busselton,AU,-33.65,115.3333,63.86,59,98,5.01,overcast clouds
16,Jieshi,CN,22.8134,115.8257,68.4,78,100,26.24,moderate rain
17,Butaritari,KI,3.0707,172.7902,81.36,76,52,13.96,broken clouds
18,Okha,RU,53.5739,142.9478,42.85,82,100,8.72,overcast clouds
19,Mega,ET,4.05,38.3,62.89,74,6,9.42,clear sky
20,Cap Malheureux,MU,-19.9842,57.6142,77.47,64,17,8.99,few clouds
21,Shache,CN,38.4167,77.2406,55.71,25,99,3.67,overcast clouds
22,Hilo,US,19.7297,-155.09,73.26,96,100,8.05,moderate rain
23,Gamba,GA,-2.65,10.0,76.08,93,100,1.9,overcast clouds
24,Adwa,ET,14.1646,38.8955,65.21,30,54,3.09,broken clouds
25,Tilichiki,RU,60.4667,166.1,0.68,84,2,12.57,clear sky
26,Coquimbo,CL,-29.9533,-71.3436,53.33,87,0,4.61,clear sky
27,Bredasdorp,ZA,-34.5322,20.0403,60.35,70,13,20.62,few clouds
28,Hermanus,ZA,-34.4187,19.2345,58.8,75,17,22.84,few clouds
29,Putina,PE,-15.4667,-69.4333,45.82,75,47,9.64,scattered clouds
30,Hofn,IS,64.2539,-15.2082,43.16,81,45,4.63,scattered clouds
31,Atuona,PF,-9.8,-139.0333,76.82,72,0,11.23,clear sky
32,Lebu,CL,-37.6167,-73.65,50.74,79,0,16.22,clear sky
33,Mount Isa,AU,-20.7333,139.5,82.17,18,13,8.05,few clouds
34,Lagos,NG,6.5833,3.75,77.32,95,32,2.28,scattered clouds
35,Acapulco,MX,16.8634,-99.8901,76.82,88,20,2.3,few clouds
36,Launceston,AU,-41.45,147.1667,58.6,57,75,20.71,light rain
37,Port Elizabeth,ZA,-33.918,25.5701,62.1,86,0,8.05,clear sky
38,Yarada,IN,17.65,83.2667,86.32,62,40,5.75,haze
39,Marechal Candido Rondon,BR,-24.5561,-54.0567,51.26,86,100,15.99,overcast clouds
40,Puerto Ayora,EC,-0.7393,-90.3518,67.37,83,93,8.14,overcast clouds
41,Saldanha,ZA,-33.0117,17.9442,59.02,63,3,11.12,clear sky
42,Kapaa,US,22.0752,-159.319,80.58,80,40,13.8,scattered clouds
43,New Norfolk,AU,-42.7826,147.0587,51.71,53,99,1.01,light rain
44,Vanavara,RU,60.34,102.2797,24.4,71,99,8.12,overcast clouds
45,Mahebourg,MU,-20.4081,57.7,79.09,65,40,12.66,scattered clouds
46,Lavrentiya,RU,65.5833,-171.0,21.81,92,100,11.14,light snow
47,Bathsheba,BB,13.2167,-59.5167,83.01,83,40,17.27,scattered clouds
48,Kruisfontein,ZA,-34.0033,24.7314,59.88,71,8,7.87,clear sky
49,Xinxiang,CN,35.3089,113.8672,69.17,37,3,6.98,clear sky
50,Thompson,CA,55.7435,-97.8558,23.16,68,100,12.66,overcast clouds
51,Cherskiy,RU,68.75,161.3,-17.45,100,99,4.61,overcast clouds
52,Narsaq,GL,60.9167,-46.05,21.42,77,14,6.29,few clouds
53,Gimli,CA,50.6336,-96.9907,48.22,49,98,6.91,overcast clouds
54,Powell,US,40.1578,-83.0752,58.53,94,20,5.75,few clouds
55,Upernavik,GL,72.7868,-56.1549,20.86,68,96,3.47,overcast clouds
56,Chipiona,ES,36.7366,-6.437,61.3,94,20,3.44,mist
57,Ozinki,RU,51.1786,49.6769,31.5,82,98,14.52,overcast clouds
58,Grindavik,IS,63.8424,-22.4338,41.47,87,75,11.5,broken clouds
59,Itarema,BR,-2.9248,-39.9167,78.04,80,52,13.47,broken clouds
60,Yerofey Pavlovich,RU,53.9667,121.9667,23.47,57,100,12.71,overcast clouds
61,Vila Do Maio,CV,15.1333,-23.2167,77.79,71,100,11.92,overcast clouds
62,Zeya,RU,53.75,127.2667,31.62,95,100,8.77,light snow
63,Punta Arenas,CL,-53.15,-70.9167,44.11,87,100,23.06,light rain
64,La Rioja,ES,42.25,-2.5,42.58,89,3,5.06,clear sky
